registros,natureza,municipio,cod_municipio,mes,ano,risp,rmbh
254,Roubo Consumado,UBERLANDIA,317020,10,2019,9,NÃO
18,Roubo Tentado,UBERLANDIA,317020,10,2019,9,NÃO
0,Sequestro e Cárcere Privado Consumado,UBERLANDIA,317020,10,2019,9,NÃO
0,Sequestro e Cárcere Privado Tentado,UBERLANDIA,317020,10,2019,9,NÃO
2,Estupro Consumado,UBERLANDIA,317020,11,2019,9,NÃO
6,Estupro de Vulnerável Consumado,UBERLANDIA,317020,11,2019,9,NÃO
0,Estupro de Vulnerável Tentado,UBERLANDIA,317020,11,2019,9,NÃO
0,Estupro Tentado,UBERLANDIA,317020,11,2019,9,NÃO
2,Extorsão Consumado,UBERLANDIA,317020,11,2019,9,NÃO
0,Extorsão Mediante Sequestro Consumado,UBERLANDIA,317020,11,2019,9,NÃO
4,Extorsão Tentado,UBERLANDIA,317020,11,2019,9,NÃO
10,Homicídio Tentado,UBERLANDIA,317020,11,2019,9,NÃO
233,Roubo Consumado,UBERLANDIA,317020,11,2019,9,NÃO
8,Roubo Tentado,UBERLANDIA,317020,11,2019,9,NÃO
0,Sequestro e Cárcere Privado Consumado,UBERLANDIA,317020,11,2019,9,NÃO
0,Sequestro e Cárcere Privado Tentado,UBERLANDIA,317020,11,2019,9,NÃO
4,Estupro Consumado,UBERLANDIA,317020,12,2019,9,NÃO
10,Estupro de Vulnerável Consumado,UBERLANDIA,317020,12,2019,9,NÃO
0,Estupro de Vulnerável Tentado,UBERLANDIA,317020,12,2019,9,NÃO
0,Estupro Tentado,UBERLANDIA,317020,12,2019,9,NÃO
1,Extorsão Consumado,UBERLANDIA,317020,12,2019,9,NÃO
0,Extorsão Mediante Sequestro Consumado,UBERLANDIA,317020,12,2019,9,NÃO
0,Extorsão Tentado,UBERLANDIA,317020,12,2019,9,NÃO
9,Homicídio Tentado,UBERLANDIA,317020,12,2019,9,NÃO
226,Roubo Consumado,UBERLANDIA,317020,12,2019,9,NÃO
18,Roubo Tentado,UBERLANDIA,317020,12,2019,9,NÃO
0,Sequestro e Cárcere Privado Consumado,UBERLANDIA,317020,12,2019,9,NÃO
0,Sequestro e Cárcere Privado Tentado,UBERLANDIA,317020,12,2019,9,NÃO
6,Homicídio Consumado (Registros),UBERLANDIA,317020,1,2019,9,NÃO
7,Homicídio Consumado (Registros),UBERLANDIA,317020,2,2019,9,NÃO
3,Homicídio Consumado (Registros),UBERLANDIA,317020,3,2019,9,NÃO
0,Homicídio Consumado (Registros),UBERLANDIA,317020,4,2019,9,NÃO
7,Homicídio Consumado (Registros),UBERLANDIA,317020,5,2019,9,NÃO
4,Homicídio Consumado (Registros),UBERLANDIA,317020,6,2019,9,NÃO
3,Homicídio Consumado (Registros),UBERLANDIA,317020,7,2019,9,NÃO
8,Homicídio Consumado (Registros),UBERLANDIA,317020,8,2019,9,NÃO
7,Homicídio Consumado (Registros),UBERLANDIA,317020,9,2019,9,NÃO
4,Homicídio Consumado (Registros),UBERLANDIA,317020,10,2019,9,NÃO
5,Homicídio Consumado (Registros),UBERLANDIA,317020,11,2019,9,NÃO
3,Homicídio Consumado (Registros),UBERLANDIA,317020,12,2019,9,NÃO
2,Estupro Consumado,UBERLANDIA,317020,1,2020,9,NÃO
6,Estupro de Vulnerável Consumado,UBERLANDIA,317020,1,2020,9,NÃO
0,Estupro de Vulnerável Tentado,UBERLANDIA,317020,1,2020,9,NÃO
1,Estupro Tentado,UBERLANDIA,317020,1,2020,9,NÃO
2,Extorsão Consumado,UBERLANDIA,317020,1,2020,9,NÃO
0,Extorsão Mediante Sequestro Consumado,UBERLANDIA,317020,1,2020,9,NÃO
1,Extorsão Tentado,UBERLANDIA,317020,1,2020,9,NÃO
7,Homicídio Tentado,UBERLANDIA,317020,1,2020,9,NÃO
190,Roubo Consumado,UBERLANDIA,317020,1,2020,9,NÃO
11,Roubo Tentado,UBERLANDIA,317020,1,2020,9,NÃO
2,Sequestro e Cárcere Privado Consumado,UBERLANDIA,317020,1,2020,9,NÃO
0,Sequestro e Cárcere Privado Tentado,UBERLANDIA,317020,1,2020,9,NÃO
2,Estupro Consumado,UBERLANDIA,317020,2,2020,9,NÃO
2,Estupro de Vulnerável Consumado,UBERLANDIA,317020,2,2020,9,NÃO
0,Estupro de Vulnerável Tentado,UBERLANDIA,317020,2,2020,9,NÃO
1,Estupro Tentado,UBERLANDIA,317020,2,2020,9,NÃO
1,Extorsão Consumado,UBERLANDIA,317020,2,2020,9,NÃO
0,Extorsão Mediante Sequestro Consumado,UBERLANDIA,317020,2,2020,9,NÃO
0,Extorsão Tentado,UBERLANDIA,317020,2,2020,9,NÃO
